scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgname	orgweb	logo	sposor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://www.imperial.ac.uk/events/152488/course-on-optimal-transportation-modelling-and-numerical-simulations/	Course on optimal transportation, modelling and numerical simulations	2022-10-11	2022-11-29	"[{""type"": ""general"", ""Start_time"": ""09:00AM"", ""end_time"": ""11:00AM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Optimal transport is a fascinating topic that has applications in a wide range of areas in engineering, medicine, communications, geophysical fluid dynamics, economics, statistics etc.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Huxley Building, South Kensington Campus	https://www.imperial.ac.uk/events/152488/course-on-optimal-transportation-modelling-and-numerical-simulations/	https://www.google.com/maps?q=Huxley+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwiRl7Wg2rD7AhV7S2wGHRoNA8MQ0pQJegQICxAB	"[""colin.cotter@imperial.ac.uk""]"		0
https://www.imperial.ac.uk/events/153421/albert-gevorgyan-imperial-2/	Albert Gevorgyan (Imperial): Majorana representations of 3-transposition groups	2022-10-27	2022-12-01	"[{""type"": ""general"", ""Start_time"": ""02:30PM"", ""end_time"": ""04:30PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Albert Gevorgyan (Imperial): Majorana Representations Of 3-Transposition Groups  2022-10-27 - 2022-12-01	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/									https://www.imperial.ac.uk/events/153421/albert-gevorgyan-imperial-2/		"[""k.rekvenyi19@imperial.ac.uk""]"		1
https://www.imperial.ac.uk/events/151133/side-eyes/	Side-Eyes	2022-11-09	2022-12-15	"[{""type"": ""general"", ""Start_time"": ""11:00AM"", ""end_time"": ""06:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	I have dug down into the “box” for this presentation, to show some works that’s not been out of the studio before, to explore and share different strands in my practice.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Sherfield Building, South Kensington Campus	https://www.imperial.ac.uk/events/151133/side-eyes/	https://www.google.com/maps?q=Sherfield+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwiB4cXK2rD7AhU_TGwGHWkJBCsQ0pQJegQIChAB	"[""gallery@imperial.ac.uk""]"	"[{""name"": ""Thomas Hylander"", ""title"": ""Artist"", ""link"": ""http://www.davidrisleygallery.com/artists/thomas-hylander""}]"	0
https://www.imperial.ac.uk/events/154498/idles-conference-2022-decarbonising-the-uk-energy-system/	IDLES Conference 2022: Decarbonising the UK Energy System	2022-11-15	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""11:00AM"", ""end_time"": ""03:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	The IDLES Conference brings together academics, researchers, industry representatives and policymakers to discuss developments in energy decarbonisation strategies based on whole systems analysis.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Sherfield Building, South Kensington Campus	https://www.imperial.ac.uk/events/154498/idles-conference-2022-decarbonising-the-uk-energy-system/	https://www.google.com/maps?q=Sherfield+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwjrlKjR2rD7AhXDS2wGHeZrB14Q0pQJegQICxAB	"[""d.huang@imperial.ac.uk"", ""l.mcdermott@imperial.ac.uk""]"		0
https://www.imperial.ac.uk/events/151069/csei-seminar-series-leading-complex-projects-through-a-systems-mindset/	CSEI Seminar Series – Leading complex projects through a systems mindset	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""01:00PM"", ""end_time"": ""02:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Short bio: Dr Dicle Kortantamer is a Lecturer of Project Management at the University of Leeds. Prior to academia, she spent over 15 years in the industry, leading complex information technology enabled strategic change projects and programmes, and providing consultancy services. Dicle’s interdisciplinary research focuses on projects as temporary organisations, and seeks to link this to questions about leadership, strategy and value creation. Her PhD research brought together studies of projects and leadership to outline the complexities inherent in projects that make leadership particularly difficult, and offered an alternative model of project leadership. During her PhD, she became a Research Fellow on the ESRC funded Project X initiative, a collaboration between government, academia and industry that aims to generate unique insights into the performance of major projects and programmes. In this role she researched the leadership challenges encountered in sustainability transitions projects that face radical uncertainty. 	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/									https://www.imperial.ac.uk/events/151069/csei-seminar-series-leading-complex-projects-through-a-systems-mindset/		"[""t.gordon@imperial.ac.uk""]"		1
https://www.imperial.ac.uk/events/154316/why-upper-airway-dryness-promotes-inflammation-and-cough-reflux/	Why upper airway dryness promotes inflammation and cough reflex	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""02:00PM"", ""end_time"": ""03:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	David A Edwards is a scientist, inventor and writer. He is an Associate in Bioengineering at Harvard University School of Engineering and Applied Sciences, Faculty Associate at the Center for Nanoscale Systems, and the founder and inventor of FEND, 2020 Time Magazine’s Best Invention of the Year. He is the author of two textbooks in applied mathematics, and pioneering research on porous respiratory aerosols, and inhaled drug and vaccine delivery. He is the founder of multiple startups and a member of the US National Academy of Engineering, the US National Academy of Inventors, and the French Academy of Engineering. He is a Chevalier des Arts et des Lettres of the French Ministry of Culture.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Guy Scadding Building, Royal Brompton Campus	https://www.imperial.ac.uk/events/154316/why-upper-airway-dryness-promotes-inflammation-and-cough-reflux/	https://www.google.com/maps?q=Guy+Scadding+Building,+Royal+Brompton+Campus+&sa=X&ved=2ahUKEwiluv712rD7AhXZuGMGHRzDA_MQ0pQJegQIDxAB	"[""c.p.goodliffe@imperial.ac.uk""]"		0
https://www.imperial.ac.uk/events/153970/sharing-perspectives/	Sharing Perspectives on Postgraduate Education	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""02:30PM"", ""end_time"": ""04:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	The Graduate School at Imperial College London is hosting a free event for undergraduate students interested in postgraduate education at the College.  At this special event, you will hear from some of the College’s BAME postgraduate students and Early Career Researchers who will share with the audience, their experiences, and perspectives.	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Sir Alexander Fleming Building, South Kensington Campus	https://www.imperial.ac.uk/events/153970/sharing-perspectives/	https://www.google.com/maps?q=Sir+Alexander+Fleming+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwici_WL27D7AhVGimMGHbl8C-gQ0pQJegQIBhAB	"[""h.ahmed@imperial.ac.uk""]"		0
https://www.imperial.ac.uk/events/154813/string-theory-seminar-matteo-sacchi-mixed-anomalies-and-generalized-symmetries-from-3d-superconformal-indices/	String theory seminar: Matteo Sacchi – Mixed anomalies and generalized symmetries from 3d superconformal indices	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""02:30PM"", ""end_time"": ""03:30PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	String Theory Seminar: Matteo Sacchi – Mixed Anomalies And Generalized Symmetries From 3D Superconformal Indices  2022-11-16 - 2022-11-16	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Huxley Building, South Kensington Campus	https://www.imperial.ac.uk/events/154813/string-theory-seminar-matteo-sacchi-mixed-anomalies-and-generalized-symmetries-from-3d-superconformal-indices/	https://www.google.com/maps?q=Huxley+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwiKu5el27D7AhXz8DgGHemAB_0Q0pQJegQIEBAB	"[""f.valach@imperial.ac.uk""]"		0
https://www.imperial.ac.uk/events/153660/junior-analysis-seminar-ali-barki-paris/	Junior Analysis Seminar: Ali Barki (Paris)	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""03:00PM"", ""end_time"": ""04:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Junior Analysis Seminar: Ali Barki (Paris)  2022-11-16 - 2022-11-16	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Huxley Building, South Kensington Campus	https://www.imperial.ac.uk/events/153660/junior-analysis-seminar-ali-barki-paris/	https://www.google.com/maps?q=Huxley+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwiNnva-27D7AhWeyjgGHSUiAAkQ0pQJegQIEBAB	"[""gemma.hood19@imperial.ac.uk"", ""a.del-zotto20@imperial.ac.uk"", ""m.nualart-batalla20@imperial.ac.uk"", ""s.gupta19@imperial.ac.uk""]"	"[{""name"": ""Ali Barki"", ""title"": ""University of Paris"", ""link"": ""http://perso.eleves.ens-rennes.fr/people/ali.barki/""}]"	0
https://www.imperial.ac.uk/events/153142/hamza-fawzi-university-of-cambridge-quantum-relative-entropy-optimization/	Hamza Fawzi (University of Cambridge): Quantum Relative Entropy Optimization	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""04:00PM"", ""end_time"": ""05:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Hamza Fawzi (University Of Cambridge): Quantum Relative Entropy Optimization  2022-11-16 - 2022-11-16	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/							United Kingdom	Huxley Building, South Kensington Campus	https://www.imperial.ac.uk/events/153142/hamza-fawzi-university-of-cambridge-quantum-relative-entropy-optimization/	https://www.google.com/maps?q=Huxley+Building,+South+Kensington+Campus+&sa=X&ved=2ahUKEwjLwYTJ27D7AhXb8jgGHcrJCr8Q0pQJegQIEBAB	"[""ashley.davey18@imperial.ac.uk"", ""h.zheng@imperial.ac.uk""]"	"[{""name"": ""Hamza Fawzi"", ""title"": ""University of Cambridge"", ""link"": """"}]"	0
https://www.imperial.ac.uk/events/155620/overview-of-physics-results-from-the-first-campaign-of-experiments-on-mast-upgrade/	Overview of Physics Results from the First Campaign of Experiments on MAST Upgrade	2022-11-16	2022-11-16	"[{""type"": ""general"", ""Start_time"": ""04:00PM"", ""end_time"": ""05:00PM"", ""timezone"": ""GMT"", ""days"": ""all""}]"	Overview Of Physics Results From The First Campaign Of Experiments On Mast Upgrade  2022-11-16 - 2022-11-16	"[{""type"": ""free"", ""price"": """", ""currency"": """"}]"	Imperial is a global top ten university with a world-class reputation in science, engineering, business and medicine.	Imperial	https://www.imperial.ac.uk/									https://www.imperial.ac.uk/events/155620/overview-of-physics-results-from-the-first-campaign-of-experiments-on-mast-upgrade/		"[""nicholas.dover08@imperial.ac.uk""]"	"[{""name"": ""Rory Scannell"", ""title"": ""Fusion Scientist"", ""link"": ""https://www.researchgate.net/profile/Rory-Scannell/2""}]"	1
