scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgname	orgweb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://rxglobal.com/events	Dprint	2022-09-27	2022-09-29		Dprint Asia  China  Shenzhen 27th - 29th September 2022 Shenzhen World Exhibition & Convention Center Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Shenzhen	 China 	Shenzhen World Exhibition & Convention Center	https://www.dprint-expo.com/	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS3wFBN6Et7p3ve_RdYzZF6o7vYec9u&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFjCAWDrAWgAcAB4AIABAIgBAJIBAJgBAKABAQ&q=Shenzhen+World+Exhibition+%26+Convention+Center++Shenzhen++China&um=1&ie=UTF-8&sa=X&ved=2ahUKEwiqptSWpbj6AhWTR2wGHQosDgoQ_AUoAnoECAIQBA	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	ALUMINIUM	2022-09-27	2022-09-29		ALUMINIUM Europe  Germany  Dusseldorf 27th - 29th September 2022 Dusseldorf Exhibition Centre Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Dusseldorf	 Germany 	Dusseldorf Exhibition Centre	https://www.aluminium-messe.com/	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS34uTsr7H4FdJDW9NQ73Q_gU4s_KJj&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFinAWDbAWgAcAB4AIABAIgBAJIBAJgBAKABAQ&q=Dusseldorf+Exhibition+Centre++Dusseldorf++Germany&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjv5rmlpbj6AhW_RmwGHU5vDrcQ_AUoAXoECAMQAw	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Digital Construction Expo Japan Osaka	2022-09-28	2022-09-30		Digital Construction Expo Japan Osaka Asia  Japan  Osaka 28th - 30th September 2022 INTEX Osaka Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Osaka	 Japan 	INTEX Osaka	https://www.japan-build.jp/osaka/en-gb/about/construction-dx.html	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS3-tccVGJiAvQnQ_a_EBpa6VPzm0XX&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFhqYIwBaABwAHgAgAEAiAEAkgEAmAEAoAEB&q=INTEX+Osaka++Osaka++Japan&um=1&ie=UTF-8&sa=X&ved=2ahUKEwioyOewpbj6AhWER2wGHVsQD4QQ_AUoA3oECAIQBQ	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Retail Digital Transformation Expo Osaka	2022-09-28	2022-09-30		Retail Digital Transformation Expo Osaka Asia  Japan  Osaka 28th - 30th September 2022 INTEX Osaka Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Osaka	 Japan 	INTEX Osaka	https://www.japan-build.jp/osaka/en-gb/about/sdx.html	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS4DUB1XJlg8AIBkvWLgBfCHoFfQGiS&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFhZYIoBaABwAHgAgAEAiAEAkgEAmAEAoAEB&q=INTEX+Osaka++Osaka++Japan&um=1&ie=UTF-8&sa=X&ved=2ahUKEwi1vfW5pbj6AhWDcGwGHThOCh8Q_AUoA3oECAEQBQ	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Real Estate Tech Expo Tokyo	2022-09-28	2022-09-30		Real Estate Tech Expo Tokyo Asia  Japan  Osaka 28th - 30th September 2022 INTEX Osaka Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Osaka	 Japan 	INTEX Osaka	https://www.japan-build.jp/osaka/en-gb/about/real-estate-tech.html	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS4JFp3V42QcUvVQKF0VICfJvzLCsW8&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFheYIABaABwAHgAgAEAiAEAkgEAmAEAoAEB&q=INTEX+Osaka++Osaka++Japan&um=1&ie=UTF-8&sa=X&ved=2ahUKEwj0n6LFpbj6AhWkR2wGHUk1DmYQ_AUoA3oECAIQBQ	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	JIS Fall	2022-09-30	2022-10-03		JIS Fall The Americas  United States  Miami Beach 30th September - 3rd October 2022 Miami Beach Convention Center Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Miami Beach	 United States 	Miami Beach Convention Center	https://www.jisshow.com/fall/en-us.html	https://www.google.com/maps/place/Miami+Beach+Convention+Center/@25.7949047,-80.1354586,17z/data=!3m1!4b1!4m5!3m4!1s0x88d9b483832de31f:0xe6f4e5416a1bf693!8m2!3d25.7949047!4d-80.1332699	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Idéobain	2022-10-03	2022-10-06		Idéobain Europe  France  Paris 3rd - 6th October 2022 Paris Expo Porte de Versailles Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Paris	 France 	Paris Expo Porte de Versailles	http://www.ideobain.com/	https://www.google.com/maps/place/Paris+Expo+Porte+de+Versailles/@48.8300389,2.288262,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6707227dc3507:0xb95e16217b96a221!8m2!3d48.8300389!4d2.2904507	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Interclima	2022-10-03	2022-10-06		Interclima Europe  France  Paris 3rd - 6th October 2022 Paris Expo Porte de Versailles Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Paris	 France 	Paris Expo Porte de Versailles	http://www.interclima.com/	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS4hfvBw5nEjjXX9AL69Kj15eQaJJFY&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFiaAWDPAWgAcAB4AIABAIgBAJIBAJgBAKABAQ&q=Paris+Expo+Porte+de+Versailles++Paris++France&um=1&ie=UTF-8&sa=X&ved=2ahUKEwiKwc7zpbj6AhXfRmwGHYppCCkQ_AUoAXoECAIQAw	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	Batimat	2022-10-03	2022-10-06		Batimat Europe  France  Paris 3rd - 6th October 2022 Paris Expo Porte de Versailles Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Paris	 France 	Paris Expo Porte de Versailles	http://www.batimat.com/	https://www.google.com/maps?iflsig=AJiK0e8AAAAAYzS4p4MLtyMrNRJJT0LmCHfl3WtdnmjX&uact=5&gs_lcp=Cgdnd3Mtd2l6EANQAFiiAWDLAWgAcAB4AIABAIgBAJIBAJgBAKABAQ&q=Paris+Expo+Porte+de+Versailles++Paris++France&um=1&ie=UTF-8&sa=X&ved=2ahUKEwiA2L2Dprj6AhWXSGwGHewlDJAQ_AUoAXoECAMQAw	"['""rxinfo@reedexpo.co.uk""']"		0
https://rxglobal.com/events	ECSE - eCommerce Summit & Expo	2022-10-05	2022-10-06		ECSE - eCommerce Summit & Expo The Americas  Mexico  Mexico City 5th - 6th October 2022 Centro Citibanamex Event website		We are in the business of building businesses so everyone can thrive whoever and wherever you are. Our flagship events will always be our pride and focus, but we're now building on these creating year-round communities with shared passions and purpose, designed to help businesses and people grow continually.	Rxglobal	https://rxglobal.com/						 Mexico City	 Mexico 	Centro Citibanamex	http://www.ecse.mx/	https://www.google.com/maps/place/Centro+Citibanamex/@19.4404945,-99.2260809,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2022fe6949ce7:0x5d42bb0157a92f85!8m2!3d19.4404945!4d-99.2238922	"['""rxinfo@reedexpo.co.uk""']"		0
